ENSGID	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80
ENSG00000267655	0.948081	0.342398	0.8785280000000001	0.337353	0.092811	0.891957	0.100508	0.317076	0.51962	1.0778459999999999	0.195476	0.133178	0.168536	0.371348	0.166324	0.375579	0.234625	0.542449	0.375732	0.585241	0.374638	0.272801	0.313447	0.34277199999999997	0.262322	0.043148	0.386914	1.2536120000000002	1.065933	0.143897	0.33342	0.5316069999999999	0.286308	0.056261	0.250487	0.264209	0.308179	0.23013000000000003	0.716091	0.039803	0.25292
ENSG00000232166	0.018236000000000002	0.017291	0.0	0.019102	0.0		0.041967000000000004	0.0	0.031306	0.0		0.0	0.0		0.0	0.0		0.0	0.042868	0.0	0.0		0.0	0.0	0.021937	0.075442	0.016184	0.011445	0.009541	0.0	0.012239		0.0	0.0	0.008017		0.037997		0.047375	0.0	0.0
ENSG00000260565	2.485664	1.8923349999999999	1.20746	0.8579959999999999	3.5862730000000003	4.2542599999999995	0.23500300000000002	0.945484	1.8262349999999998	1.593806	1.183664	1.079458	0.38409899999999997	1.62973	0.710526	1.9683009999999999	0.400807	1.501262	1.807262	0.888216	1.432223	0.506998	1.416994	0.934034	0.7786569999999999	0.581095	2.368148	1.06572	2.560306	0.36856500000000003	0.46888599999999997	1.623422	0.6754640000000001	0.926092	0.388707	1.819993	0.9768379999999999	2.915283	3.304732	0.658284	0.9712709999999999
ENSG00000252514								0.0													0.0						0.0														0.0
ENSG00000268902	0.157799	0.014624000000000002	20.645538000000002	0.016156	0.102743	0.061841999999999994		15.797481		0.530273		0.158827	0.019065000000000002	11.013198	0.115799	44.638008		0.053446	14.951312		39.255665	0.272412	27.593517	7.137989999999999	0.003315	0.009761	24.119448000000002		2.3827130000000003			0.092856	0.055178	0.025457	0.012637	0.015161	0.0	0.056428	0.08471000000000001	0.018009999999999998	
ENSG00000221996																			0.0			0.0				0.0	0.0			0.0	0.0										
ENSG00000265443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012121999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10623800000000001	0.062738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028363	0.148529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033545	0.0	0.016203
ENSG00000236719	0.274073	0.015498	0.009792			0.187436		0.328833		0.076481	0.008787	0.017769999999999998		0.016975		0.894433					0.038197	0.002154	0.5487449999999999		0.004899000000000001		0.059362			0.006147								0.019053999999999998			
ENSG00000138316	0.017754	0.33060100000000003	0.09160700000000001	0.047227	0.732112	0.033436	0.036083	0.283448	0.5107	0.488271	0.068737	0.055662	0.196445	0.021539	0.249244	0.29384	0.061640999999999994	0.38317199999999996	0.343665	0.021909	0.218261	0.128615	0.204718	0.231886	0.09312000000000001	0.06527100000000001	0.098026	0.335512	0.395521	0.010029999999999999	0.01324	0.166716	0.645642	0.570856	0.512834	0.170715	0.014343	0.39008000000000004	0.099009	0.21986599999999998	0.173208
ENSG00000250548	0.005856	0.040593000000000004	0.022501	0.004944	0.025343	0.029876999999999997	2.955982	0.027821	0.019742	0.021115000000000002	0.79038	0.0	0.017624	0.0	0.080455	0.0	0.0	2.021375	0.666672	0.0	0.010971	0.007826999999999999	0.236433	0.019662	0.0	0.01154	0.073885	3.97721	0.06754099999999999	0.005149	0.55994	0.0	0.502436	0.163212	0.008793	0.004688	0.0	0.005559000000000001	0.014521000000000001	0.0	0.0
ENSG00000246820																												0.002693													
ENSG00000248126	0.6295109999999999	2.0825169999999997	0.587441	1.355275	0.94557	0.829736	0.122529	0.842269	0.645189	0.734056	0.7141609999999999	1.142915	0.214957	2.459684	0.961	0.40602699999999997	3.328918	2.1141	1.956291	1.088195	3.2523619999999998	0.399345	1.229854	1.150764	0.474709	0.464125	0.611989	2.200335	1.039418	0.95281	0.153745	0.759054	0.57468	2.08701	0.42488400000000004	0.5694560000000001	0.971141	1.437335	2.872405	3.273533	3.2911010000000003
ENSG00000126012	14.383903	26.684361	24.975948000000002	8.420489	21.327082	16.033798	3.804933	17.829829999999998	14.690553	17.671713	12.836223	20.137684	5.096272	26.767351	30.445303000000003	21.944452	9.348953	20.798555	20.621147	27.156845	15.890326000000002	7.682183	8.807889	12.218461	9.153327	26.787777000000002	23.281975	11.016653999999999	42.213341	8.070127000000001	4.669186	6.954671	8.394556	13.862167999999999	8.705852	11.623787	6.907561	16.548214	25.288216000000002	11.591698	28.350243
ENSG00000181282																								0.012125	0.019281												0.033931				
ENSG00000232324	0.0	0.082294	0.0	0.0	0.160444	0.0	0.0	0.162429	0.13173900000000002	0.0	0.007859	0.023837	0.0	0.02186	0.17207	0.9008860000000001	0.0	0.22727600000000003	0.143494	0.181126	0.15318299999999999	0.044761	0.059507000000000004	0.027155000000000002	0.0	0.0	0.021563	0.023508	0.428725	0.0	0.021997	0.10538499999999999	0.0	0.28875300000000004	0.0	0.0	0.019927	0.22615900000000003	0.079424	0.051205999999999995	0.0
ENSG00000278254		0.016845																	0.00025299999999999997																						
ENSG00000167904	5.01284	9.935041	3.582578	22.955688000000002	4.764808	8.430905000000001	5.406425	10.900319999999999	18.578879999999998	12.274104	11.08302	8.353823	3.5183720000000003	7.15937	6.895212	11.223923	6.855291	10.698538000000001	16.574436	11.32138	5.6233629999999994	4.198913	5.316971	7.406478999999999	4.939161	4.859273	4.644156	6.276317	16.463028	5.13861	1.6899849999999998	19.594719	8.749682	8.779833	10.001127	6.917787	3.075209	5.958554	11.540068	6.94353	6.668557000000001
ENSG00000212153	0.18505	0.33216999999999997	0.25957800000000003	0.506993	0.771859	0.0	0.211423	0.413312	0.198268	0.0	0.974743	1.09246	0.26779000000000003	0.64951	0.616267	0.0	0.44265699999999997	2.1514189999999997	0.0	0.171262	0.14182899999999998	1.096255	0.9654729999999999	0.508322	0.295231	1.2797459999999998	0.548523	0.077425	1.207224	0.504587	0.248394	0.406172	0.31997600000000004	0.45394399999999996	0.090642	0.589021	1.188346	0.5749340000000001	1.575439	0.674606	0.178107
ENSG00000250894		0.9025569999999999	0.041444	0.018208000000000002		0.142283		0.13125			0.028897000000000003	0.6045229999999999	0.008229	0.594929			0.0014960000000000002					0.142796	0.051029000000000005					0.0014869999999999998	0.00595	0.043912	0.078276	0.077085	0.150131	0.01465	0.15782100000000002	0.01854	0.016134	0.0015949999999999998			
ENSG00000275477																													0.018626												
ENSG00000267269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003401	0.0	0.0	0.0	0.0
ENSG00000206150	0.05154299999999999	0.06417300000000001	0.016643	0.094196	0.046183	0.06536900000000001	0.072877	0.037862	0.105025	0.0	0.158891	0.29825999999999997	0.018525	0.41067200000000004	0.044338999999999996	0.085602	0.08974	0.018286	0.09123099999999999	0.07146	0.360743	0.012506999999999999	0.161752	0.0	0.09337100000000001	0.10204400000000001	0.103227	0.031193000000000002	0.056688	0.08947100000000001	0.07859400000000001	0.23467800000000003	0.076926	0.072127	0.018419	0.29804899999999995	0.041293	0.079077	0.097499	0.228429	0.0
ENSG00000243979	0.070844	0.15643800000000002	0.117567	0.08338999999999999	0.00969	0.133546	0.17808	0.04825	0.08993999999999999	0.126934	0.061342999999999995	0.111549	0.11671	0.124491	0.195708	0.035634	0.151502	0.164134	0.036492000000000004	0.032073000000000004	0.029835000000000004	0.09916	0.044545	0.08161399999999999	0.043556	0.027030000000000002	0.021001	0.51146	0.209677	0.12037	0.053047000000000004	0.060871	0.043366	0.077539	0.079626	0.111724	0.012938	0.024891999999999997	0.09247999999999999	0.106637	0.00935
ENSG00000228410																																									
ENSG00000202174	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055435000000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0
ENSG00000109854	84.46255500000001	147.76054399999998	87.507019	66.280739	61.694828	129.878586	53.420258	119.77833600000001	96.403687	145.092453	75.612564	89.278358	69.480591	97.287231	38.759903	47.553612	161.620987	194.57626299999998	56.978825	106.09983799999999	89.878151	102.18615	45.728596	44.64209	21.638932999999998	14.996988	68.465477	43.289333	52.374771	20.815865	14.188799	75.170624	83.144432	89.309647	144.536667	223.810333	41.431488	135.686081	131.90892	44.380108	19.700172
ENSG00000222326	0.0	0.925486	0.022782	0.040799	0.220027	0.23253000000000001	0.0	0.171125	0.0	0.022241999999999998	0.000504	0.299737	0.0	0.17061099999999998	0.0	0.0	0.0	0.132237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.663838	0.0	0.0	0.0	0.0	0.297013	0.0	0.073227	0.0	0.0	0.0	0.251198	0.0	0.0	0.0
ENSG00000265573	0.212538	0.7567699999999999	0.991914	0.524579	4.8829709999999995	4.000301	0.382225	1.9423400000000002	0.789399	2.390977	4.594307	1.362791	0.537762	2.872761	1.2811139999999999	1.662912	1.296926	3.107438	0.314232	0.786809	3.2271080000000003	0.154417	2.0194959999999997	2.360429	0.281402	1.9088490000000002	4.194134	0.365773	11.010036	0.430098	0.340913	1.274928	0.27820900000000004	0.699121	0.290425	0.623003	0.190584	1.484932	5.505178	1.096434	2.06251
ENSG00000227914	0.049883	0.0	0.07637000000000001	0.011614	0.029582999999999998	0.0	0.067471	0.021730000000000003	0.031863999999999996	0.048986	0.009979	0.188576	0.0	0.0	0.0	0.18495999999999999	0.0	0.024401	0.0	0.0	0.0	0.018326	0.0	0.056165	0.1108	0.119808	0.010685	0.004611	0.0	0.0	0.0	0.0	0.0	0.035866	0.053136	0.031373000000000005	0.0	0.0	0.0	0.050749	0.023837
